Symbol,Tradable,DollarVolume,Price,Score,Rank,AsOf
GOOGL,Y,8.79962e+09,337.83,1.20902,19,2026-09-23
GPC,Y,1.58815e+08,128.76,,,2026-09-23
GPN,Y,2.40231e+08,84,,,2026-09-23
GPRE,Y,1.96815e+07,15.11,,,2026-09-23
GS,Y,1.84238e+09,936.36,,,2026-09-23
GSK,Y,1.5702e+08,49.71,,,2026-09-23
HAL,Y,3.40358e+08,33.01,,,2026-09-23
HALO,Y,1.56691e+08,112.44,,,2026-09-23
HAS,Y,1.37954e+08,86.52,,,2026-09-23
HBAN,Y,3.85573e+08,15.38,,,2026-09-23
HBM,Y,1.01446e+08,26.79,,,2026-09-23
HD,Y,1.2562e+09,296.72,,,2026-09-23
HDB,Y,1.98078e+08,22.79,,,2026-09-23
HE,Y,2.20619e+07,9.22,,,2026-09-23
HIG,Y,1.98824e+08,126.59,,,2026-09-23
HIMX,Y,1.69757e+07,14.28,,,2026-09-23
HIW,Y,3.80772e+07,29.69,,,2026-09-23
HL,Y,5.95592e+08,18.27,-0.393656,42,2026-09-23
HLF,Y,1.61367e+07,11.99,,,2026-09-23
HLIT,Y,1.60875e+07,10.99,,,2026-09-23
HMC,Y,2.82574e+07,32.15,,,2026-09-23
HMY,Y,5.51833e+07,18.73,-0.745849,46,2026-09-23
HOG,Y,5.12016e+07,25.98,,,2026-09-23
HOMB,Y,4.46504e+07,28.84,,,2026-09-23
HON,Y,6.84849e+08,212.57,,,2026-09-23
HOPE,Y,1.24125e+07,13.62,,,2026-09-23
HP,Y,4.05123e+07,39.56,,,2026-09-23
HPQ,Y,4.10837e+08,32.16,,,2026-09-23
HR,Y,6.76509e+07,17.96,,,2026-09-23
HRB,Y,8.46365e+07,42.54,,,2026-09-23
HRL,Y,9.09032e+07,19.92,,,2026-09-23
HSBC,Y,1.22105e+08,100.25,,,2026-09-23
HSIC,Y,1.00739e+08,85.05,,,2026-09-23
HST,Y,2.04734e+08,22.15,,,2026-09-23
HSY,Y,2.45059e+08,168.45,,,2026-09-23
HTGC,Y,2.39561e+07,16.97,,,2026-09-23
HUBG,Y,3.66199e+07,31.4,,,2026-09-23
HUM,Y,4.31434e+08,374.78,,,2026-09-23
IAG,Y,8.35452e+07,19.89,,,2026-09-23
IAU,Y,3.71647e+08,80.52,,,2026-09-23
IBKR,Y,3.85301e+08,91.56,,,2026-09-23
IBM,Y,1.46812e+09,232.76,,,2026-09-23
IBN,Y,1.41405e+08,27.91,,,2026-09-23
ICE,Y,5.12267e+08,156.35,,,2026-09-23
IFF,Y,1.31564e+08,85.71,,,2026-09-23
ILMN,Y,3.84066e+08,255.38,,,2026-09-23
IMAX,Y,4.88809e+07,53.3,,,2026-09-23
INCY,Y,1.73095e+08,124.64,,,2026-09-23
INFY,Y,1.96724e+08,10.75,,,2026-09-23
ING,Y,6.46233e+07,35.92,,,2026-09-23
INOD,Y,6.27421e+07,71.99,-0.378658,41,2026-09-23
INSM,Y,2.42184e+08,118.34,,,2026-09-23
INTC,Y,1.03539e+10,122.6,3.08785,3,2026-09-23
INTU,Y,1.17736e+09,286.8,,,2026-09-23
IONS,Y,1.55164e+08,43.93,,,2026-09-23
IP,Y,1.74069e+08,35.7,,,2026-09-23
IRDM,Y,6.00359e+07,48.3,,,2026-09-23
ISRG,Y,9.6594e+08,398.3,,,2026-09-23
IT,Y,1.97654e+08,178.52,,,2026-09-23
ITW,Y,3.11674e+08,273.42,,,2026-09-23
IVZ,Y,1.31498e+08,30.74,,,2026-09-23
JBL,Y,3.09873e+08,308.75,,,2026-09-23
JCI,Y,4.40179e+08,145.9,,,2026-09-23
JEF,Y,9.76301e+07,46.98,,,2026-09-23
JHX,Y,1.69469e+08,26.85,,,2026-09-23
JKHY,Y,1.52508e+08,148.33,,,2026-09-23
JNJ,Y,1.73006e+09,269.17,,,2026-09-23
JPM,Y,2.35724e+09,337.53,0.521933,32,2026-09-23
KBH,Y,5.4037e+07,47.15,-0.868663,47,2026-09-23
KBR,Y,4.71732e+07,35.34,,,2026-09-23
KDP,Y,3.56554e+08,31.76,,,2026-09-23
KEP,Y,1.21091e+07,10.89,,,2026-09-23
KEY,Y,2.29807e+08,20.24,,,2026-09-23
KGC,Y,1.95074e+08,27.62,,,2026-09-23
KIM,Y,1.00069e+08,22.21,,,2026-09-23
KLAC,Y,1.94101e+09,187.86,,,2026-09-23
KLIC,Y,7.35791e+07,90.85,,,2026-09-23
KMB,Y,3.67951e+08,97.7,,,2026-09-23
KMPR,Y,2.30435e+07,25.85,,,2026-09-23
